userID,itemID,rating
u1,Toy Story (1995),4
u1,Grumpier Old Men (1995),4
u1,Heat (1995),4
u1,Seven (a.k.a. Se7en) (1995),5
u1,"Usual Suspects, The (1995)",5
u1,From Dusk Till Dawn (1996),3
u1,Bottle Rocket (1996),5
u1,Braveheart (1995),4
u1,Rob Roy (1995),5
u1,Canadian Bacon (1995),5
u1,Desperado (1995),5
u1,Billy Madison (1995),5
u1,Clerks (1994),3
u1,Dumb & Dumber (Dumb and Dumber) (1994),5
u1,Ed Wood (1994),4
u1,Star Wars: Episode IV - A New Hope (1977),5
u1,Pulp Fiction (1994),3
u1,Stargate (1994),3
u1,Tommy Boy (1995),5
u1,Clear and Present Danger (1994),4
u1,Forrest Gump (1994),4
u1,"Jungle Book, The (1994)",5
u1,"Mask, The (1994)",4
u1,Blown Away (1994),3
u1,Dazed and Confused (1993),4
u1,"Fugitive, The (1993)",5
u1,Jurassic Park (1993),4
u1,Mrs. Doubtfire (1993),3
u1,Schindler's List (1993),5
u1,So I Married an Axe Murderer (1993),4
u1,"Three Musketeers, The (1993)",4
u1,Tombstone (1993),5
u1,Dances with Wolves (1990),4
u1,Batman (1989),4
u1,"Silence of the Lambs, The (1991)",4
u1,Pinocchio (1940),5
u1,Fargo (1996),5
u1,Mission: Impossible (1996),3
u1,James and the Giant Peach (1996),5
u1,Space Jam (1996),3
u1,"Rock, The (1996)",4
u1,Twister (1996),3
u1,Independence Day (a.k.a. ID4) (1996),3
u1,She's the One (1996),4
u1,"Wizard of Oz, The (1939)",5
u1,Citizen Kane (1941),5
u1,"Adventures of Robin Hood, The (1938)",5
u1,"Ghost and Mrs. Muir, The (1947)",4
u1,Mr. Smith Goes to Washington (1939),5
u1,Escape to Witch Mountain (1975),3
u1,Winnie the Pooh and the Blustery Day (1968),5
u1,"Three Caballeros, The (1945)",5
u1,"Sword in the Stone, The (1963)",5
u1,Dumbo (1941),5
u1,Pete's Dragon (1977),3
u1,Bedknobs and Broomsticks (1971),5
u1,Alice in Wonderland (1951),5
u1,That Thing You Do! (1996),4
u1,"Ghost and the Darkness, The (1996)",5
u1,Swingers (1996),4
u1,Willy Wonka & the Chocolate Factory (1971),5
u1,Monty Python's Life of Brian (1979),5
u1,Reservoir Dogs (1992),5
u1,Platoon (1986),4
u1,Basic Instinct (1992),5
u1,E.T. the Extra-Terrestrial (1982),5
u1,"Abyss, The (1989)",4
u1,Monty Python and the Holy Grail (1975),5
u1,Star Wars: Episode V - The Empire Strikes Back (1980),5
u1,"Princess Bride, The (1987)",5
u1,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),5
u1,"Clockwork Orange, A (1971)",5
u1,Apocalypse Now (1979),4
u1,Star Wars: Episode VI - Return of the Jedi (1983),5
u1,Goodfellas (1990),5
u1,Alien (1979),4
u1,Psycho (1960),2
u1,"Blues Brothers, The (1980)",5
u1,Full Metal Jacket (1987),5
u1,Henry V (1989),5
u1,"Quiet Man, The (1952)",5
u1,"Terminator, The (1984)",5
u1,Duck Soup (1933),5
u1,"Shining, The (1980)",3
u1,Groundhog Day (1993),4
u1,Back to the Future (1985),5
u1,Highlander (1986),5
u1,Young Frankenstein (1974),5
u1,Fantasia (1940),5
u1,Indiana Jones and the Last Crusade (1989),5
u1,Pink Floyd: The Wall (1982),5
u1,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",4
u1,Batman Returns (1992),3
u1,Sneakers (1992),3
u1,"Last of the Mohicans, The (1992)",3
u1,McHale's Navy (1997),3
u1,Best Men (1997),4
u1,Grosse Pointe Blank (1997),4
u1,Austin Powers: International Man of Mystery (1997),5
u1,Con Air (1997),4
u1,Face/Off (1997),5
u1,Men in Black (a.k.a. MIB) (1997),3
u1,Conan the Barbarian (1982),5
u1,L.A. Confidential (1997),5
u1,Kiss the Girls (1997),4
u1,"Game, The (1997)",5
u1,I Know What You Did Last Summer (1997),3
u1,Starship Troopers (1997),3
u1,"Big Lebowski, The (1998)",5
u1,"Wedding Singer, The (1998)",4
u1,Welcome to Woop-Woop (1997),4
u1,"Newton Boys, The (1998)",5
u1,Wild Things (1998),4
u1,Small Soldiers (1998),4
u1,All Quiet on the Western Front (1930),5
u1,Rocky (1976),5
u1,Labyrinth (1986),4
u1,Lethal Weapon (1987),4
u1,"Goonies, The (1985)",5
u1,Back to the Future Part III (1990),4
u1,Bambi (1942),5
u1,Saving Private Ryan (1998),4
u1,"Black Cauldron, The (1985)",5
u1,Flight of the Navigator (1986),4
u1,"Great Mouse Detective, The (1986)",5
u1,"Honey, I Shrunk the Kids (1989)",4
u1,"Negotiator, The (1998)",5
u1,"Jungle Book, The (1967)",5
u1,"Rescuers, The (1977)",5
u1,Return to Oz (1985),3
u1,"Rocketeer, The (1991)",5
u1,Sleeping Beauty (1959),4
u1,Song of the South (1946),4
u1,Tron (1982),4
u1,Indiana Jones and the Temple of Doom (1984),5
u1,"Lord of the Rings, The (1978)",5
u1,Charlotte's Web (1973),5
u1,"Secret of NIMH, The (1982)",5
u1,"American Tail, An (1986)",5
u1,Legend (1985),4
u1,"NeverEnding Story, The (1984)",5
u1,Beetlejuice (1988),4
u1,Willow (1988),4
u1,Toys (1992),2
u1,"Few Good Men, A (1992)",4
u1,Rush Hour (1998),4
u1,Edward Scissorhands (1990),5
u1,American History X (1998),5
u1,I Still Know What You Did Last Summer (1998),2
u1,Enemy of the State (1998),5
u1,King Kong (1933),4
u1,Very Bad Things (1998),5
u1,Psycho (1998),2
u1,Rushmore (1998),5
u1,Romancing the Stone (1984),4
u1,Young Sherlock Holmes (1985),3
u1,"Thin Red Line, The (1998)",5
u1,Howard the Duck (1986),4
u1,"Texas Chainsaw Massacre, The (1974)",5
u1,Crocodile Dundee (1986),5
u1,¡Three Amigos! (1986),4
u1,20 Dates (1998),4
u1,Office Space (1999),5
u1,Logan's Run (1976),3
u1,Planet of the Apes (1968),5
u1,"Lock, Stock & Two Smoking Barrels (1998)",5
u1,"Matrix, The (1999)",5
u1,Go (1999),5
u1,SLC Punk! (1998),5
u1,Dick Tracy (1990),4
u1,"Mummy, The (1999)",2
u1,Star Wars: Episode I - The Phantom Menace (1999),4
u1,Superman (1978),4
u1,Superman II (1980),5
u1,Dracula (1931),4
u1,Frankenstein (1931),4
u1,"Wolf Man, The (1941)",5
u1,"Rocky Horror Picture Show, The (1975)",3
u1,Run Lola Run (Lola rennt) (1998),5
u1,"South Park: Bigger, Longer and Uncut (1999)",5
u1,Ghostbusters (a.k.a. Ghost Busters) (1984),5
u1,"Iron Giant, The (1999)",5
u1,Big (1988),4
u1,"13th Warrior, The (1999)",4
u1,American Beauty (1999),5
u1,Excalibur (1981),5
u1,Gulliver's Travels (1939),5
u1,Total Recall (1990),4
u1,"Dirty Dozen, The (1967)",5
u1,Goldfinger (1964),5
u1,From Russia with Love (1963),5
u1,Dr. No (1962),5
u1,Fight Club (1999),5
u1,RoboCop (1987),4
u1,Who Framed Roger Rabbit? (1988),5
u1,Live and Let Die (1973),5
u1,Thunderball (1965),5
u1,Being John Malkovich (1999),4
u1,Spaceballs (1987),5
u1,Robin Hood (1973),5
u1,Dogma (1999),5
u1,"Messenger: The Story of Joan of Arc, The (1999)",5
u1,"Longest Day, The (1962)",4
u1,"Green Mile, The (1999)",5
u1,Easy Rider (1969),4
u1,"Talented Mr. Ripley, The (1999)",1
u1,Encino Man (1992),3
u1,Sister Act (1992),3
u1,Wayne's World (1992),5
u1,Scream 3 (2000),5
u1,JFK (1991),5
